#,New Name,Original Name,中文名,款号,Category,"List
 Price","Current
 Price",neiwai.life,Note,"90-Day
 Sales","Units
 Sold","Avg
 Price",Disc %,"US
 WH",Yuntu,菜鸟仓,"US
 Inv","Total
 Inv","Est. Inv
 Value",SKUs,% Sales,Asset Folder
BRAS,,,,,,,,,,,,,,,,,,,,,,
1,Barely Zero Anchored Cup Strap Bra,Barely Zero Anchored Cup Spaghetti Strap Bra,云朵无尺码3.0吊带款(半固定胸垫),NO251WU1121,Bra,$39,$39,View on site,Core Barely Zero,"$419,478",15683,$27,31%,4119,5412,0,9531,9531,"$95,310",6,23.00%,
2,Barely Zero Anchored Cup Signature Bra,Barely Zero Anchored Cup Classic Bra,云朵无尺码3.0背心款(半固定胸垫),NO251WU1122,Bra,$39,$39,View on site,Core Barely Zero,"$254,364",9522,$27,31%,4588,982,0,5570,5570,"$55,700",4,14.00%,
3,Barely Zero Strap Bra,Barely Zero Spaghetti Strap Bra,无尺码吊带文胸,N211WU1120,Bra,$39,$39,View on site,Core Barely Zero,"$145,169",5256,$28,29%,10808,0,0,10808,10808,"$108,080",5,8.00%,
4,Barely Zero Scallop Bra,Barely Zero Fixed Cup Wavy Bra,固定杯吊带款文胸,NW221WU1198,Bra,$59,$49,View on site,Core Barely Zero,"$86,420",2594,$33,31%,1483,1200,2639,2683,5322,"$53,220",12,4.80%,
5,Barely Zero Scallop Clasp Bra,Barely Zero Fixed Cup Wavy Clasp Bra,抱抱杯背扣文胸（美国）,NO252WU1124,Bra,$59,$59,View on site,Core Barely Zero,"$82,444",1984,$42,29%,0,534,0,534,534,"$5,340",8,4.50%,
6,Barely Zero Camisole,Barely Zero Camisole,云朵带胸垫吊带背心,NW242WF3206,Bra,$49,$49,View on site,Core Barely Zero,"$50,144",1460,$34,30%,14,472,0,486,486,"$4,860",4,2.80%,
7,Barely Zero Curvy Clasp Bra,Barely Zero Fixed Cup Clasp Bra,软支撑吊带款文胸,NW221WU11103,Bra,$49,$49,View on site,Core Barely Zero,"$50,076",1459,$34,30%,1502,15,499,1517,2016,"$20,160",6,2.80%,
8,Barely Zero Curvy Bra,Barely Zero Anchored Cup Curve Bra,云朵固定杯丰盈文胸（美国）,NO252WU1123,Bra,$49,$49,View on site,Core Barely Zero,"$34,120",971,$35,28%,0,1128,0,1128,1128,"$11,280",3,1.90%,
9,Barely Zero Curve Extra Support Bra,Barely Zero Curve Extra Support Bra,均码文胸大胸加强款,N212WU1107,Bra,$49,$49,View on site,Core Barely Zero,"$15,268",454,$34,31%,593,46,1697,639,2336,"$23,360",2,0.80%,
10,Barely Zero Breeze Bra,Barely Zero Cooling Clasp Bra,云朵针织真丝吊带背扣文胸,NO261WU1132,Bra,$55,$55,View on site,Core Barely Zero,$630,14,$45,18%,0,355,0,355,355,"$3,550",4,0.00%,
11,Pure Comfort Triangle Bra ,Pure Comfort Soft Modal Triangle Bra 4.0,零敏玲珑文胸,NO252WU1121,Bra,$49,$49,View on site,Strategic non-BZ keeper,"$21,129",582,$36,25%,0,631,0,631,631,"$6,310",14,1.20%,
12,Pure Comfort Bandeau Bra ,Pure Comfort 5/8 Cup Bandeau Bra 2.0,零敏丰盈文胸,N211WU1119,Bra,$39,$38,View on site,Move to Flash Sale,"$1,028",35,$29,23%,36,109,571,145,716,"$7,160",22,0.10%,
